"SECURITIES","ERROR CODE","NUM FLDS","TICKER","OPT_STRIKE_PX","PX_LAST","PX_SETTLE","OPT_DELTA_LAST","OPT_GAMMA_LAST","SETTLE_DT","OPT_DAYS_EXPIRE","DAYS_TO_MTY","TODAY_DT","1ST_MTH_IMPVOL_90.0%MNY_DF","1ST_MTH_IMPVOL_95.0%MNY_DF","1ST_MTH_IMPVOL_97.5%MNY_DF","1ST_MTH_IMPVOL_100.0%MNY_DF","1ST_MTH_IMPVOL_102.5%MNY_DF","1ST_MTH_IMPVOL_110.0%MNY_DF","3MTH_IMPVOL_90.0%MNY_DF","3MTH_IMPVOL_95.0%MNY_DF","3MTH_IMPVOL_97.5%MNY_DF","3MTH_IMPVOL_100.0%MNY_DF","3MTH_IMPVOL_102.5%MNY_DF","3MTH_IMPVOL_110.0%MNY_DF","6MTH_IMPVOL_90.0%MNY_DF","6MTH_IMPVOL_95.0%MNY_DF","6MTH_IMPVOL_97.5%MNY_DF","6MTH_IMPVOL_100.0%MNY_DF","6MTH_IMPVOL_102.5%MNY_DF","6MTH_IMPVOL_110.0%MNY_DF"
"FVU6P    119.75 Comdty",0,28,"FVU6P",119.750000  ,0.070313  ,0.070313  ,-.085  ,.106  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    120 Comdty",0,28,"FVU6P",120.000000  ,0.085938  ,0.085938  ,-.103  ,.126  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    120.25 Comdty",0,28,"FVU6P",120.250000  ,0.101563  ,0.101563  ,-.122  ,.148  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    120.5 Comdty",0,28,"FVU6P",120.500000  ,0.125000  ,0.125000  ,-.149  ,.175  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    120.75 Comdty",0,28,"FVU6P",120.750000  ,0.156250  ,0.156250  ,-.181  ,.204  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    121 Comdty",0,28,"FVU6P",121.000000  ,0.203125  ,0.203125  ,-.224  ,.235  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    121.25 Comdty",0,28,"FVU6P",121.250000  ,0.257813  ,0.257813  ,-.272  ,.265  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    121.5 Comdty",0,28,"FVU6P",121.500000  ,0.328125  ,0.328125  ,-.328  ,.291  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    121.75 Comdty",0,28,"FVU6P",121.750000  ,0.414063  ,0.414063  ,-.389  ,.311  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    122 Comdty",0,28,"FVU6P",122.000000  ,0.515625  ,0.515625  ,-.453  ,.324  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    122.25 Comdty",0,28,"FVU6P",122.250000  ,0.632813  ,0.632813  ,-.520  ,.329  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    122.5 Comdty",0,28,"FVU6P",122.500000  ,0.773438  ,0.773438  ,-.587  ,.321  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    122.75 Comdty",0,28,"FVU6P",122.750000  ,0.929688  ,0.929688  ,-.651  ,.305  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    123 Comdty",0,28,"FVU6P",123.000000  ,1.109375  ,1.109375  ,-.707  ,.278  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    123.25 Comdty",0,28,"FVU6P",123.250000  ,1.296875  ,1.296875  ,-.760  ,.250  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    123.5 Comdty",0,28,"FVU6P",123.500000  ,1.500000  ,1.500000  ,-.804  ,.219  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    123.75 Comdty",0,28,"FVU6P",123.750000  ,1.710938  ,1.710938  ,-.842  ,.189  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    124 Comdty",0,28,"FVU6P",124.000000  ,1.929688  ,1.929688  ,-.875  ,.159  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    124.25 Comdty",0,28,"FVU6P",124.250000  ,2.156250  ,2.156250  ,-.902  ,.132  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    124.5 Comdty",0,28,"FVU6P",124.500000  ,2.390625  ,2.390625  ,-.923  ,.110  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    124.75 Comdty",0,28,"FVU6P",124.750000  ,2.632813  ,2.632813  ,-.934  ,.094  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    125 Comdty",0,28,"FVU6P",125.000000  ,2.875000  ,2.875000  ,-.944  ,.079  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    125.25 Comdty",0,28,"FVU6P",125.250000  ,3.117188  ,3.117188  ,-.955  ,.066  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    125.5 Comdty",0,28,"FVU6P",125.500000  ,3.359375  ,3.359375  ,-.965  ,.054  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    125.75 Comdty",0,28,"FVU6P",125.750000  ,3.601563  ,3.601563  ,-.974  ,.042  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    126 Comdty",0,28,"FVU6P",126.000000  ,3.851563  ,3.851563  ,-.976  ,.038  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    126.25 Comdty",0,28,"FVU6P",126.250000  ,4.101563  ,4.101563  ,-.976  ,.035  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    126.5 Comdty",0,28,"FVU6P",126.500000  ,4.343750  ,4.343750  ,-.986  ,.024  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    126.75 Comdty",0,28,"FVU6P",126.750000  ,4.593750  ,4.593750  ,-.987  ,.023  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    127 Comdty",0,28,"FVU6P",127.000000  ,4.843750  ,4.843750  ,-.987  ,.021  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    127.25 Comdty",0,28,"FVU6P",127.250000  ,5.093750  ,5.093750  ,-.987  ,.020  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    127.5 Comdty",0,28,"FVU6P",127.500000  ,5.343750  ,5.343750  ,-.988  ,.018  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    127.75 Comdty",0,28,"FVU6P",127.750000  ,5.593750  ,5.593750  ,-.988  ,.017  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    128 Comdty",0,28,"FVU6P",128.000000  ,5.835938  ,5.835938  ,-1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    128.25 Comdty",0,28,"FVU6P",128.250000  ,6.085938  ,6.085938  ,-1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    128.5 Comdty",0,28,"FVU6P",128.500000  ,6.335938  ,6.335938  ,-1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    128.75 Comdty",0,28,"FVU6P",128.750000  ,6.585938  ,6.585938  ,-1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    129 Comdty",0,28,"FVU6P",129.000000  ,6.835938  ,6.835938  ,-1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    129.25 Comdty",0,28,"FVU6P",129.250000  ,7.085938  ,7.085938  ,-1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    129.5 Comdty",0,28,"FVU6P",129.500000  ,7.335938  ,7.335938  ,-1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6P    129.75 Comdty",0,28,"FVU6P",129.750000  ,7.585938  ,7.585938  ,-1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    109.75 Comdty",0,28,"FVU6C",109.750000  ,12.414063  ,12.414063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    110 Comdty",0,28,"FVU6C",110.000000  ,12.164063  ,12.164063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    110.25 Comdty",0,28,"FVU6C",110.250000  ,11.914063  ,11.914063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    110.5 Comdty",0,28,"FVU6C",110.500000  ,11.664063  ,11.664063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    110.75 Comdty",0,28,"FVU6C",110.750000  ,11.414063  ,11.414063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    111 Comdty",0,28,"FVU6C",111.000000  ,11.164063  ,11.164063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    111.25 Comdty",0,28,"FVU6C",111.250000  ,10.914063  ,10.914063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    111.5 Comdty",0,28,"FVU6C",111.500000  ,10.664063  ,10.664063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    111.75 Comdty",0,28,"FVU6C",111.750000  ,10.414063  ,10.414063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    112 Comdty",0,28,"FVU6C",112.000000  ,10.164063  ,10.164063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    112.25 Comdty",0,28,"FVU6C",112.250000  ,9.914063  ,9.914063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    112.5 Comdty",0,28,"FVU6C",112.500000  ,9.664063  ,9.664063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    112.75 Comdty",0,28,"FVU6C",112.750000  ,9.414063  ,9.414063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    113 Comdty",0,28,"FVU6C",113.000000  ,9.164063  ,9.164063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    113.25 Comdty",0,28,"FVU6C",113.250000  ,8.914063  ,8.914063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    113.5 Comdty",0,28,"FVU6C",113.500000  ,8.664063  ,8.664063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    113.75 Comdty",0,28,"FVU6C",113.750000  ,8.414063  ,8.414063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    114 Comdty",0,28,"FVU6C",114.000000  ,8.164063  ,8.164063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    114.25 Comdty",0,28,"FVU6C",114.250000  ,7.914063  ,7.914063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    114.5 Comdty",0,28,"FVU6C",114.500000  ,7.664063  ,7.664063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    114.75 Comdty",0,28,"FVU6C",114.750000  ,7.414063  ,7.414063  ,1.000  ,.000  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    115 Comdty",0,28,"FVU6C",115.000000  ,7.171875  ,7.171875  ,.990  ,.011  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    115.25 Comdty",0,28,"FVU6C",115.250000  ,6.921875  ,6.921875  ,.990  ,.011  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    115.5 Comdty",0,28,"FVU6C",115.500000  ,6.671875  ,6.671875  ,.990  ,.012  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    115.75 Comdty",0,28,"FVU6C",115.750000  ,6.421875  ,6.421875  ,.990  ,.013  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    116 Comdty",0,28,"FVU6C",116.000000  ,6.179688  ,6.179688  ,.983  ,.018  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    116.25 Comdty",0,28,"FVU6C",116.250000  ,5.929688  ,5.929688  ,.983  ,.019  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    116.5 Comdty",0,28,"FVU6C",116.500000  ,5.679688  ,5.679688  ,.982  ,.020  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    116.75 Comdty",0,28,"FVU6C",116.750000  ,5.429688  ,5.429688  ,.982  ,.022  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    117 Comdty",0,28,"FVU6C",117.000000  ,5.179688  ,5.179688  ,.981  ,.023  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    117.25 Comdty",0,28,"FVU6C",117.250000  ,4.929688  ,4.929688  ,.980  ,.025  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    117.5 Comdty",0,28,"FVU6C",117.500000  ,4.687500  ,4.687500  ,.973  ,.031  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    117.75 Comdty",0,28,"FVU6C",117.750000  ,4.437500  ,4.437500  ,.972  ,.034  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    118 Comdty",0,28,"FVU6C",118.000000  ,4.187500  ,4.187500  ,.971  ,.037  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    118.25 Comdty",0,28,"FVU6C",118.250000  ,3.945313  ,3.945313  ,.963  ,.045  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    118.5 Comdty",0,28,"FVU6C",118.500000  ,3.695313  ,3.695313  ,.961  ,.050  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"FVU6C    118.75 Comdty",0,28,"FVU6C",118.750000  ,3.453125  ,3.453125  ,.953  ,.059  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
