"SECURITIES","ERROR CODE","NUM FLDS","TODAY_DT","FUT_CUR_GEN_TICKER","PX_SETTLE","PX_LAST","PX_SETTLE_LAST_DT","FUT_THEOR_PX","FUT_FAIR_VAL","FUT_CTD_CUSIP","FUT_CNVS_FACTOR","FUT_EQV_RISK_FRSK"
"ED23 Comdty",0,10,"06/30/2016","EDH2",98.245000  ,98.245000  ,"06/30/2016", , , , ,.2500  ,
"ED24 Comdty",0,10,"06/30/2016","EDM2",98.200000  ,98.200000  ,"06/30/2016", , , , ,.2500  ,
"ED25 Comdty",0,10,"06/30/2016","EDU2",98.160000  ,98.160000  ,"06/30/2016", , , , ,.2500  ,
"ED26 Comdty",0,10,"06/30/2016","EDZ2",98.115000  ,98.115000  ,"06/30/2016", , , , ,.2500  ,
"ED27 Comdty",0,10,"06/30/2016","EDH3",98.085000  ,98.085000  ,"06/30/2016", , , , ,.2500  ,
"ED28 Comdty",0,10,"06/30/2016","EDM3",98.050000  ,98.050000  ,"06/30/2016", , , , ,.2500  ,
"ED29 Comdty",0,10,"06/30/2016","EDU3",98.020000  ,98.020000  ,"06/30/2016", , , , ,.2500  ,
"ED30 Comdty",0,10,"06/30/2016","EDZ3",97.975000  ,97.975000  ,"06/30/2016", , , , ,.2500  ,
"ED31 Comdty",0,10,"06/30/2016","EDH4",97.955000  ,97.955000  ,"06/30/2016", , , , ,.2500  ,
"ED32 Comdty",0,10,"06/30/2016","EDM4",97.930000  ,97.930000  ,"06/30/2016", , , , ,.2500  ,
"ED33 Comdty",0,10,"06/30/2016","EDU4",97.905000  ,97.905000  ,"06/30/2016", , , , ,.2500  ,
"ED34 Comdty",0,10,"06/30/2016","EDZ4",97.870000  ,97.870000  ,"06/30/2016", , , , ,.2500  ,
"ED35 Comdty",0,10,"06/30/2016","EDH5",97.855000  ,97.855000  ,"06/30/2016", , , , ,.2500  ,
"ED36 Comdty",0,10,"06/30/2016","EDM5",97.830000  ,97.830000  ,"06/30/2016", , , , ,.2500  ,
"ED37 Comdty",0,10,"06/30/2016","EDU5",97.810000  ,97.810000  ,"06/30/2016", , , , ,.2500  ,
"ED38 Comdty",0,10,"06/30/2016","EDZ5",97.780000  ,97.780000  ,"06/30/2016", , , , ,.2500  ,
"ED39 Comdty",0,10,"06/30/2016","EDH6",97.765000  ,97.765000  ,"06/30/2016", , , , ,.2500  ,
"ED40 Comdty",0,10,"06/30/2016","EDM6",97.740000  ,97.740000  ,"06/30/2016", , , , ,.2500  ,
"ED41 Comdty",0,10,"06/30/2016","N.A.","N.A.","N.A.","N.A.", , , , ,"N.A.",
"ED42 Comdty",0,10,"06/30/2016","N.A.","N.A.","N.A.","N.A.", , , , ,"N.A.",
